net,length_um
net4,88.75µm
net24,81.48µm
clknet_1_0__leaf_osc_ck,59.94µm
net23,56.87µm
clknet_1_1__leaf_osc_ck,51.58µm
net20,47.4µm
net22,45.36µm
net25,45.18µm
_033_,44.44µm
cnt_por\[1\],44.23µm
cnt_por\[0\],43.72µm
net5,41.91µm
net7,38.98µm
net6,35.71µm
_019_,33.455µm
_034_,33.36µm
cnt_por\[6\],33.3µm
osc_ck,32.87µm
cnt_st\[0\],32.13µm
net19,31.24µm
cnt_por\[10\],26.1µm
cnt_por\[9\],25.86µm
cnt_por\[4\],24.57µm
_042_,23.38µm
cnt_st\[1\],23.295µm
_036_,22.24µm
cnt_por\[5\],21.72µm
_047_,20.86µm
net27,19.94µm
_013_,19.9µm
net26,19.46µm
_030_,19.4µm
clknet_0_osc_ck,19.4µm
cnt_por\[8\],19µm
net11,19µm
_048_,17.32µm
_037_,17.03µm
_031_,16.94µm
cnt_por\[2\],16.595µm
net1,16.56µm
_035_,15.9µm
otrip_decoded[6],15.88µm
cnt_por\[7\],15.74µm
cnt_st\[4\],15.34µm
net21,15.24µm
force_dis_rc_osc,15.15µm
_003_,15µm
_032_,14.92µm
_011_,14.34µm
cnt_st\[3\],13.78µm
otrip_decoded[4],13.08µm
_002_,12.76µm
_039_,12.745µm
_016_,12.58µm
pwup_filt,12.25µm
net14,12.02µm
_024_,11.72µm
por_unbuf,11.48µm
otrip[1],11.44µm
otrip_decoded[2],11.26µm
otrip_decoded[1],11.22µm
_026_,11.2µm
_012_,11.125µm
_028_,11.12µm
_051_,10.64µm
startup_timed_out,10.29µm
_052_,10.2µm
_015_,10.12µm
_001_,10.1µm
_017_,10.1µm
cnt_st\[2\],9.76µm
cnt_rsb,9.62µm
otrip_decoded[0],8.96µm
otrip_decoded[3],8.96µm
otrip_decoded[5],8.96µm
otrip_decoded[7],8.96µm
net8,8.96µm
otrip[0],8.72µm
otrip[2],8.72µm
net29,8.6µm
_009_,8.46µm
_027_,8.4µm
_018_,8.32µm
_000_,8.28µm
cnt_rsb_stg1,8.06µm
cnt_por\[3\],8.02µm
net28,7.52µm
force_short_oneshot,7.25µm
net34,7.12µm
osc_ena,7.11µm
_010_,7.1µm
net15,6.82µm
force_ena_rc_osc,6.69µm
_040_,6.4µm
net30,6.2µm
force_pdnb,6.09µm
_020_,6.06µm
net18,5.74µm
force_pdn,4.95µm
_029_,4.88µm
net33,4.76µm
_006_,4.54µm
_049_,4.44µm
por_timed_out,4.39µm
_007_,4µm
_046_,4µm
net17,4µm
net32,3.54µm
_022_,3.44µm
_004_,3.2µm
_005_,3.2µm
_038_,3.11µm
net12,2.96µm
net13,2.96µm
net16,2.96µm
_014_,2.84µm
net2,2.62µm
net9,2.62µm
_025_,2.5µm
_050_,2.3µm
_043_,2.16µm
_045_,2.16µm
net10,2.16µm
_041_,1.94µm
_053_,1.84µm
_008_,1.82µm
net31,1.7µm
_023_,1.6µm
net3,1.6µm
_044_,1.38µm
_021_,0.8µm
